id,description,country,letter,storage id
1,Brasileiro,Czechia,B,34
2,Groove Bar,Czechia,G,262
3,Gulpener,Netherlands,G,261
4,Gambrinus,Czechia,G,283
5,Grimbergen,Belgium,G,272
6,Golem,Czechia,G,273
7,Grand Mir,Belgium,G,274
8,Golden Bauch,Brazil,G,275
9,Gefragt,Germany,G,271
10,Gulden Draak,Czechia,G,264
11,Grolsch,Netherlands,G,277
12,Grolsch,Netherlands,G,279
13,Guinness,Ireland,G,267
14,Guinness,Ireland,G,268
15,Guinness,Ireland,G,269
16,Guinness,Ireland,G,270
17,Gebrouwen door Vrouwen,Netherlands,G,276
18,Gambrinus,Czechia,G,289
19,Gambrinus,Czechia,G,288
20,Gambrinus,Czechia,G,290
21,Guinness,Ireland,G,266
22,Guinness,Ireland,G,265
23,Gilded Iguana,Costa Rica,G,257
24,Maisel,Germany,M,519
25,Max Haus,Brazil,M,520
26,Maes,Belgium,M,522
27,Moby Dick,Italy,M,533
28,Monchshof,Germany,M,532
29,Maneblusser,Belgium,M,511
30,Mamlasu,Czechia,M,512
31,McGuires,USA,M,498
32,Mazette,Belgium,M,513
33,Mort Subite,Belgium,M,514
34,Moretti,Italy,M,515
35,Maisel,Germany,M,500
36,Kutna Hora,Czechia,K,506
37,Mahou,Spain,M,501
38,Magners,Ireland,M,504
39,Michala Restaurace,Czechia,M,509
40,Moravia Pivovar,Czechia,M,538
41,Moravsky Zizkov Pivovar,Czechia,M,928
42,M,,M,540
43,Mokum,Netherlands,M,539
44,Krkonossky Medved,Czechia,K,536
45,Mikalido,Germany,M,543
46,Munchner Bier,Germany,M,542
47,Oedipus,Netherlands,O,541
48,Krkonossky Medved,Czechia,K,535
49,Mercuria,Czechia,M,537
50,Beer Experience,Spain,B,35
51,Dorada,Spain,D,208
52,Estrella Galicia,Spain,E,226
53,Cervezas 1906,Spain,C,163
54,Estrella Damm,Spain,E,227
55,Heineken,Netherlands,H,310
56,Tropical,Spain,T,832
57,Alhambra,Spain,A,6
58,Cruzcampo,Spain,C,179
59,Mahou,Spain,M,502
60,Tropical,Spain,T,831
61,Warsteiner,Spain,W,866
62,El Aguila,Spain,E,9
63,Tropical,Spain,T,833
64,Canarias Viva,Spain,C,945
65,Alhambra,Spain,A,7
66,Dorada,Spain,D,209
67,TAJ Rooftop,Spain,T,837
68,Cerveny Jelen,Czechia,C,161
69,Kosice Pivovar,Slovakia,K,377
70,Kosice Pivovar,Slovakia,K,378
71,Kaltenecker Pivovar,Slovakia,K,380
72,Starobrno,Czechia,S,749
73,Pilsner Urquell,Czechia,P,611
74,Pilsner Urquell,Czechia,P,612
75,Kamenice,Czechia,K,410
