path,phash,whash
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00001_back.webp,94614f5e7a9629e1,003c7e5d7d3e3e08
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00001_front.webp,94615f7c7a9429e1,003c7e5f7d1e3e08
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00002_back.webp,95d15ec24a1b2f6a,187e06ffff060618
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00002_front.webp,95d3524c7b914c3e,187e3e7f033e3e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00003_back.webp,95c65ec56a2d6836,003e7e7e7e7e1c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00003_front.webp,95c35a0c6a2739b7,183e6e3e1a7e3e08
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00004_back.webp,91724ead6ac53dc2,002c1e3e3f3e7e1c
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00004_front.webp,919354764ae94d67,187e7e7d251e2618
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00005_back.webp,955555415565555f,003e3e3f1f1f1f02
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00005_front.webp,85ce7869747865c6,183e7e7e7e3e0006
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00006_back.webp,956255c555da455b,6647031f1f0f6f06
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00006_front.webp,b4e0c14bd56c75f0,7ee7430103819f7e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00007_back.webp,95c055d655d255d5,003e3f3f1f1f1e02
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00007_front.webp,bfd1406ec4d95166,7e8180febe81817e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00008_back.webp,84d6717951c6c47d,7e1f373f1d112302
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00008_front.webp,94b565c3565e5863,6e0f1f1e3f7d2100
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00009_back.webp,9fc6616994e051de,7e3f3f3f3f000102
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00009_front.webp,eb94117b955bd0c8,7e81f9fbf1808078
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00010_back.webp,85e0d04a55f555cf,7e7f7b0000007f7e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00010_front.webp,a1b2d54b17e64479,7e6f434301c1f31e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00011_back.webp,94c055cb55c755cb,007e3e3e3f3e1e02
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00011_front.webp,a062d56e11fe41de,403767070700ff7f
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00012_back.webp,85cf41e175a1551f,00103fffff7f0600
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00012_front.webp,888535c85de771f4,000e7ffff9f90500
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00013_back.webp,8496356d157e447e,027f777f17710302
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00013_front.webp,80d5d5d1d585556d,ffff3f19003e0102
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00014_back.webp,84c26579d0de4797,46073f7f7f030306
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00014_front.webp,84c875f3556cd169,7e4f1b1b037f0306
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00015_back.webp,c1c41e6f1732f94c,007cfceef0eb001f
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00015_front.webp,982c3fd0c17f16c6,181f1f1b7e1e0d0e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00016_back.webp,858dd47654f151d3,ffff3f1f00006e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00016_front.webp,c0d5d5d495817537,feff017f7e000106
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00017_back.webp,95b04fb44ff04bd0,3e0e7e7e7e7e0000
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00017_front.webp,94363d6716de40ab,00077c7c3c7efa52
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00018_back.webp,a41c51d7519959e7,1667670363777702
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00018_front.webp,a44e51db511959e7,1067670367777f02
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00019_back.webp,a445590f51db54e7,002267676707ff66
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00019_front.webp,a54c195f51db44e6,0026676767277f26
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00020_back.webp,85cf586f353c103b,187c3e7e3f3e000e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00020_front.webp,80c155d354e7556f,1e7e7e3e1e1e3400
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00021_back.webp,d19c46cd1e366b32,187e42dbdb626638
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00021_front.webp,94c452d34b6c6d6b,3c7e1e1b3f0e0e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00022_back.webp,84f246276cd93f0e,30743efefb223818
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00022_front.webp,911c5a936e732d78,181e1a3f3f7e6c10
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00023_back.webp,95c35a0d6a8f6d4c,003c7e7e7e7e3c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00023_front.webp,919956764b493b36,187e4e7f7f060e08
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00024_back.webp,c1635ebc0b943d5a,00646e7c7c7e7e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00024_front.webp,853352dc6e1c3b69,003e7e3e7b7e1e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00025_back.webp,91ca56954b4b6c9b,18667e3d3f562618
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00025_front.webp,85d8523b6bc72d38,181e7e3d3d3e3e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00026_back.webp,95c94a2b6b2d2d2d,003c7e7e7e7e3c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00026_front.webp,936d0f361b926e68,002e7c7e7e6e6c0c
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00027_back.webp,903e45e34b9e1e6c,184e1c3d7d3c7e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00027_front.webp,913e45634b9e1e6c,184e1cbdbd3c7a18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00028_back.webp,90704fc54b1e3cdd,1c7646047e7e7e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00028_front.webp,91865b796fcc1c19,187e7e3c2c7e1c18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00029_back.webp,84c0555f555e555e,007e7e3e3e3e3e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00029_front.webp,94ca71717466d659,023f3f3f1e7f0600
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00030_back.webp,8686617955dad666,7e073d3d3d3d0502
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00030_front.webp,8686756951dec666,6e073d3d3c3d1d02
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00031_back.webp,846866c7cfc359c3,00034b7f7e7e6706
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00031_front.webp,d58a7a847e857a85,007e7e7e76566e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00032_back.webp,940e557b51e051ef,001e175b0f4f7f0e
